year,ep_ratio,u_rate,gdp,gdp_capita,fdr_12mo,blr,alr,exchange_rate,gdp_ma,ep_ratio_ma,exchange_rate_ma,gdp_pct_change,ep_ratio_pct_change,exchange_rate_pct_change
2006,61.0,3.3,772180.479,29084.686,3.7433333333333336,6.613333333333333,6.495833333333335,3.66817695833333,750846.4045,61.0,3.7276343125,0.05848859196115308,0.0,-0.03140000792164788
2007,61.2,3.2,822219.26,30387.01,3.7058333333333344,6.72,6.405833333333334,3.43756938226247,797199.8695,61.1,3.5528731702979,0.0648019243698077,0.003278688524590123,-0.06286708048448097
2008,60.6,3.3,861746.893,31259.015,3.675,6.695,6.080000000000001,3.33583333333333,841983.0765,60.900000000000006,3.3867013577979,0.048074321440731094,-0.009803921568627527,-0.029595344156277514
2009,60.6,3.7,847648.672,30185.653,2.555833333333333,5.6225,5.084166666666666,3.52450291070644,854697.7825,60.6,3.430168122019885,-0.016360048541538497,0.0,0.05655845437115481
2010,61.6,3.3,908628.92,31782.997,2.8091666666666666,6.016666666666667,5.0,3.22108691472175,878138.7960000001,61.1,3.3727949127140953,0.0719404748858028,0.01650165016501659,-0.08608759977555935
2011,62.5,3.1,956730.943,32920.119,3.143333333333333,6.449166666666668,4.915,3.06000301052058,932679.9315,62.05,3.1405449626211652,0.052939128329747565,0.014610389610389518,-0.050009176549986156
2012,63.6,3.0,1009097.173,34195.51,3.1808333333333327,6.53,4.785833333333334,3.08880086662188,982914.058,63.05,3.07440193857123,0.05473454201846595,0.01760000000000006,0.009411054826511611
2013,65.2,3.1,1056461.394,34966.496,3.149999999999999,6.53,4.6498,3.15090855009725,1032779.2835,64.4,3.119854708359565,0.04693722494453967,0.02515723270440251,0.020107376991024717
2014,65.7,2.9,1119920.092,36469.753,3.225395299145299,6.659134615384612,4.587026543209877,3.27285974643047,1088190.743,65.45000000000002,3.21188414826386,0.06006721907719781,0.0076687116564417845,0.03870350230553532
2015,65.8,3.1,1176941.0,37739.0,3.3116987179487176,6.78653846153846,4.565377469135803,3.90550026302768,1148430.546,65.75,3.5891800047290747,0.05091515761465604,0.0015220700152205335,0.1932990001442001
2016,65.4,3.4,1229312.0,38861.0,3.1805549145299143,6.728930769230767,4.531061419753087,4.14830066287879,1203126.5,65.6,4.026900462953235,0.04449755765157293,-0.006079027355622935,0.06216883459198197
2017,65.7,3.4,1300769.0,40620.0,3.0907,6.665833333333334,4.608078086419753,4.30044087761124,1265040.5,65.55000000000001,4.224370770245015,0.05812763562057466,0.004587155963302614,0.036675310469629574
2018,66.0,3.3,1363766.0,42115.0,3.3133944444444445,6.88578611111111,4.928651602564102,4.03513013706806,1332267.5,65.85,4.16778550733965,0.0484305822171347,0.004566210045662045,-0.06169384676916001
2019,66.4,3.3,1423952.0,43783.0,3.170818236714977,6.778611111111114,4.876892948717948,4.14246973569731,1393859.0,66.2,4.088799936382685,0.04413220449842559,0.0060606060606061,0.02660127306507243
2020,65.3,4.5,1346249.0,41490.0,2.1310763888888897,5.833541666666668,3.944207692307693,4.20348194851884,1385100.5,65.85,4.172975842108075,-0.05456855287256879,-0.01656626506024106,0.01472846314259435
2021,65.4,4.6,1390900.0,42697.078,1.7162500000000005,5.489583333333335,3.444106410256411,4.14329759817721,1368574.5,65.35,4.173389773348026,0.03316696985475942,0.0015313935681471325,-0.014317737313666035
2022,66.5,3.9,1514100.0,46305.584,2.109233333333333,5.882789855072466,4.056124358974359,4.40107634540072,1452500.0,65.95,4.272186971788965,0.08857574232511323,0.01681957186544336,0.06221584163708549
